Pays,Lat,Long,Date,Deces
Chypre,34.982301,33.145128,2020-04-14,12
,,,,
Chypre,34.982301,33.145128,2020-04-13,12
,,,,
Chypre,34.982301,33.145128,2020-04-12,11
,,,,
Chypre,34.982301,33.145128,2020-04-11,10
,,,,
Chypre,34.982301,33.145128,2020-04-10,10
,,,,
Chypre,34.982301,33.145128,2020-04-09,10
,,,,
Chypre,34.982301,33.145128,2020-04-08,9
,,,,
Chypre,34.982301,33.145128,2020-04-07,9
,,,,
Chypre,34.982301,33.145128,2020-04-06,9
,,,,
Chypre,34.982301,33.145128,2020-04-05,9
,,,,
Chypre,34.982301,33.145128,2020-04-04,11
,,,,
Chypre,34.982301,33.145128,2020-04-03,11
,,,,
Chypre,34.982301,33.145128,2020-04-02,10
,,,,
Chypre,34.982301,33.145128,2020-04-01,9
,,,,
Chypre,34.982301,33.145128,2020-03-31,8
,,,,
Chypre,34.982301,33.145128,2020-03-30,7
,,,,
Chypre,34.982301,33.145128,2020-03-29,5
,,,,
Chypre,34.982301,33.145128,2020-03-28,5
,,,,
Chypre,34.982301,33.145128,2020-03-27,5
,,,,
Chypre,34.982301,33.145128,2020-03-26,3
,,,,
Chypre,34.982301,33.145128,2020-03-25,3
,,,,
Chypre,34.982301,33.145128,2020-03-24,3
,,,,
Chypre,34.982301,33.145128,2020-03-23,1
,,,,
Chypre,34.982301,33.145128,2020-03-22,1
,,,,
Chypre,34.982301,33.145128,2020-03-21,0
,,,,
Chypre,34.982301,33.145128,2020-03-20,0
,,,,
Chypre,34.982301,33.145128,2020-03-19,0
,,,,
Chypre,34.982301,33.145128,2020-03-18,0
,,,,
Chypre,34.982301,33.145128,2020-03-17,0
,,,,
Chypre,34.982301,33.145128,2020-03-16,0
,,,,
Chypre,34.982301,33.145128,2020-03-15,0
,,,,
Chypre,34.982301,33.145128,2020-03-14,0
,,,,
Chypre,34.982301,33.145128,2020-03-13,0
,,,,
Chypre,34.982301,33.145128,2020-03-12,0
,,,,
Chypre,34.982301,33.145128,2020-03-11,0
,,,,
Chypre,34.982301,33.145128,2020-03-10,0
,,,,
Chypre,34.982301,33.145128,2020-03-09,0
,,,,
Croatie,45.673257,16.483329,2020-04-28,63
,,,,
Croatie,45.673257,16.483329,2020-04-27,59
,,,,
Croatie,45.673257,16.483329,2020-04-26,55
,,,,
Croatie,45.673257,16.483329,2020-04-25,54
,,,,
Croatie,45.673257,16.483329,2020-04-24,51
,,,,
Croatie,45.673257,16.483329,2020-04-23,50
,,,,
Croatie,45.673257,16.483329,2020-04-22,48
,,,,
Croatie,45.673257,16.483329,2020-04-21,48
,,,,
Croatie,45.673257,16.483329,2020-04-20,47
,,,,
Croatie,45.673257,16.483329,2020-04-19,47
,,,,
Croatie,45.673257,16.483329,2020-04-18,39
,,,,
Croatie,45.673257,16.483329,2020-04-17,36
,,,,
Croatie,45.673257,16.483329,2020-04-16,35
,,,,
Croatie,45.673257,16.483329,2020-04-15,33
,,,,
Croatie,45.673257,16.483329,2020-04-14,31
,,,,
Croatie,45.673257,16.483329,2020-04-13,25
,,,,
Croatie,45.673257,16.483329,2020-04-12,23
,,,,
Croatie,45.673257,16.483329,2020-04-11,21
,,,,
Croatie,45.673257,16.483329,2020-04-10,21
,,,,
Croatie,45.673257,16.483329,2020-04-09,20
,,,,
Croatie,45.673257,16.483329,2020-04-08,19
,,,,
Croatie,45.673257,16.483329,2020-04-07,18
,,,,
Croatie,45.673257,16.483329,2020-04-06,16
,,,,
Croatie,45.673257,16.483329,2020-04-05,15
,,,,
Croatie,45.673257,16.483329,2020-04-04,12
,,,,
Croatie,45.673257,16.483329,2020-04-03,8
,,,,
Croatie,45.673257,16.483329,2020-04-02,7
,,,,
Croatie,45.673257,16.483329,2020-04-01,6
,,,,
Croatie,45.673257,16.483329,2020-03-31,6
,,,,
Croatie,45.673257,16.483329,2020-03-30,6
,,,,
Croatie,45.673257,16.483329,2020-03-29,6
,,,,
Croatie,45.673257,16.483329,2020-03-28,5
,,,,
Croatie,45.673257,16.483329,2020-03-27,3
,,,,
Croatie,45.673257,16.483329,2020-03-26,3
,,,,
Croatie,45.673257,16.483329,2020-03-25,1
,,,,
Croatie,45.673257,16.483329,2020-03-24,1
,,,,
Croatie,45.673257,16.483329,2020-03-23,1
,,,,
Croatie,45.673257,16.483329,2020-03-22,1
,,,,
Croatie,45.673257,16.483329,2020-03-21,1
,,,,
Croatie,45.673257,16.483329,2020-03-20,1
,,,,
Croatie,45.673257,16.483329,2020-03-19,1
,,,,
Croatie,45.673257,16.483329,2020-03-18,0
,,,,
Croatie,45.673257,16.483329,2020-03-17,0
,,,,
Croatie,45.673257,16.483329,2020-03-16,0
,,,,
Croatie,45.673257,16.483329,2020-03-15,0
,,,,
Croatie,45.673257,16.483329,2020-03-14,0
,,,,
Croatie,45.673257,16.483329,2020-03-13,0
,,,,
Croatie,45.673257,16.483329,2020-03-12,0
,,,,
Croatie,45.673257,16.483329,2020-03-11,0
,,,,
Croatie,45.673257,16.483329,2020-03-10,0
,,,,
Croatie,45.673257,16.483329,2020-03-09,0
,,,,
Croatie,45.673257,16.483329,2020-03-08,0
,,,,
Croatie,45.673257,16.483329,2020-03-07,0
,,,,
Croatie,45.673257,16.483329,2020-03-06,0
,,,,
Croatie,45.673257,16.483329,2020-03-05,0
,,,,
Croatie,45.673257,16.483329,2020-03-04,0
,,,,
Croatie,45.673257,16.483329,2020-03-03,0
,,,,
Croatie,45.673257,16.483329,2020-03-02,0
,,,,
Croatie,45.673257,16.483329,2020-03-01,0
,,,,
Croatie,45.673257,16.483329,2020-02-29,0
,,,,
Croatie,45.673257,16.483329,2020-02-28,0
,,,,
Croatie,45.673257,16.483329,2020-02-27,0
,,,,
Croatie,45.673257,16.483329,2020-02-26,0
,,,,
Croatie,45.673257,16.483329,2020-02-25,0
,,,,
Danemark,56.131198,9.116544,2020-04-28,434
,,,,
Danemark,56.131198,9.116544,2020-04-27,427
,,,,
Danemark,56.131198,9.116544,2020-04-26,422
,,,,
Danemark,56.131198,9.116544,2020-04-25,418
,,,,
Danemark,56.131198,9.116544,2020-04-24,403
,,,,
Danemark,56.131198,9.116544,2020-04-23,394
,,,,
Danemark,56.131198,9.116544,2020-04-22,384
,,,,
Danemark,56.131198,9.116544,2020-04-21,370
,,,,
Danemark,56.131198,9.116544,2020-04-20,364
,,,,
Danemark,56.131198,9.116544,2020-04-19,355
,,,,
Danemark,56.131198,9.116544,2020-04-18,346
,,,,
Danemark,56.131198,9.116544,2020-04-17,336
,,,,
Danemark,56.131198,9.116544,2020-04-16,321
,,,,
Danemark,56.131198,9.116544,2020-04-15,309
,,,,
Danemark,56.131198,9.116544,2020-04-14,299
,,,,
Danemark,56.131198,9.116544,2020-04-13,285
,,,,
